Genere,Imdb_rating,User_rating,Directed by,Produced by,Written by,Hero,Heroine,Music by,Cinematography,Edited by,company,Release date,Language,num_nulls
Action,7.7,82.0,Others,B. V. S. N. Prasad,M. Ratnam (Dialogue),Prabhas,Shriya Saran,M. M. Keeravani,K. K. Senthil Kumar,Kotagiri Venkateswara Rao,Sri Venkateswara Cine Chitra,September,Telugu,0
Comedy,3.6,83.0,K. Raghavendra Rao,Others,Others,Nitin,Trisha Krishnan,M. M. Keeravani,Others,Others,Others,September,Telugu,7
Drama,6.1,76.0,Others,R. B. Choudary,Paruchuri Brothers,Venkatesh,Srikanth,Others,Others,Nandamuri Hari,Others,February,Telugu,0
Action,5.8,81.0,V.V. Vinayak,Others,Others,Allu Arjun,Others,Devi Sri Prasad,Chota K. Naidu,Gowtham Raju,Others,April,Telugu,2
Action,3.2,65.0,B. Gopal,Others,Others,Jr. NTR,Others,Mani Sharma,Others,Kotagiri Venkateswara Rao,Others,May,Telugu,3
Drama,4.1,83.0,Others,Others,Others,Navdeep,Others,Others,Sameer Reddy,Others,Others,October,Telugu,2
Comedy,5.9,89.0,K. Vijaya Bhaskar,Others,Trivikram Srinivas,Chiranjeevi,Others,Mani Sharma,Others,Kotagiri Venkateswara Rao,Others,December,Telugu,3
Drama,5.7,86.0,Others,Others,Others,Ravi Teja,Shriya Saran,Chakri,Others,Others,Others,October,Telugu,4
Romance,7.1,84.0,Others,Others,Deva Katta,Others,Others,Mahesh Shankar,Others,Others,Others,November,Telugu,3
Comedy,4.4,84.0,Others,Allu Aravind,Kona Venkat,Chiranjeevi,Others,Devi Sri Prasad,Others,Marthand K. Venkatesh,Others,June,Telugu,2
Drama,2.7,83.0,Jayanth C. Paranjee,Others,Paruchuri Brothers,Nandamuri Balakrishna,Others,Mani Sharma,Others,Marthand K. Venkatesh,Others,October,Telugu,2
Action,6.6,95.0,Others,Others,Others,Gopichand,Others,Kalyani Malik,Others,Marthand K Venkatesh,Others,August,Telugu,0
Horror,8.1,83.0,Chandra Sekhar Yeleti,Others,Others,Jagapati Babu,Others,Others,Sarvesh Murari,Others,Others,June,Telugu,1
Romance,3.6,74.0,Others,Others,K. V. Vijayendra Prasad,Jr. NTR,Shriya Saran,Devi Sri Prasad,Others,Kotagiri Venkateswara Rao,Others,January,Telugu,3
Romance,3.6,70.0,E. V. V. Satyanarayana,E. V. V. Satyanarayana,Others,Others,Others,Koti,Others,Others,Others,August,Telugu,1
Comedy,4.1,83.0,Others,Others,Others,Others,Others,Others,Others,Others,Others,September,Telugu,6
Romance,3.6,77.0,Teja,Others,Teja,Nitin,Others,Anup Rubens,Others,Others,Others,February,Telugu,4
Comedy,6.1,83.0,Others,Others,Others,Others,Others,Others,Others,Others,Others,January,Telugu,5
Family,3.6,73.0,Others,Chanti Addala,Others,Tarun,Others,Devi Sri Prasad,Others,Others,Others,July,Telugu,1
Action,5.1,74.0,Others,Others,Others,Sumanth,Anushka Shetty,Others,Others,Nandamuri Hari,Others,December,Telugu,3
Action,7.3,83.0,Others,Others,Others,Manoj Manchu,Tamannaah,Others,Others,Gowtam Raju,Sree Lakshmi Prasanna Pictures,December,Telugu,3
Action,3.1,83.0,K. Raghavendra Rao,Others,Paruchuri Brothers (dialogues),Venkatesh,Shriya Saran,Mani Sharma,Others,Kotagiri Venkateswara Rao,Others,April,Telugu,1
Thriller,7.1,79.0,Others,Others,Others,Others,Others,Others,Others,Others,Others,July,Telugu,4
Action,7.7,83.0,Others,Mohan Babu,Others,Others,Others,Others,Others,Gowtham Raju,Sree Lakshmi Prasanna Pictures,September,Telugu,3
Romance,6.0,83.0,V. N. Aditya,Others,Others,Navdeep,Others,Kalyani Malik,Others,Others,Others,February,Telugu,7
Comedy,6.7,83.0,Others,Others,Others,Jagapati Babu,Kalyani,Chakri,Sarath,Others,Others,February,Telugu,1
Action,6.0,83.0,Others,Others,Janardhan Maharshi (dialogues),Jagapati Babu,Others,M. M. Keeravani,Others,Kola Bhaskar,Others,June,Telugu,2
Tollywood,4.5,83.0,S. V. Krishna Reddy,R. R. Venkat,Others,Others,Others,S. V. Krishna Reddy,Others,Others,Others,April,Telugu,3
Others,6.6,83.0,Others,Others,Others,Others,Others,Others,Others,Others,Others,October,Telugu,5
Horror,8.2,92.0,Others,Others,Others,Vikram,Sadha,Harris Jayaraj,Others,V. T. Vijayan,Others,June,Tamil,1
Horror,7.1,81.0,Others,Others,Others,Others,Others,Vidyasagar,Sekhar V. Joseph,Suresh Urs,Others,April,Tamil,1
Romance,4.6,83.0,Ravi Babu,Others,Others,Tarun,Arti Agarwal,Chakri,Others,Anthony,Suresh Productions,March,Telugu,1
Comedy,5.8,77.0,Others,Others,Others,Others,Others,Others,Others,Others,Others,April,Tamil,2
Tollywood,6.4,83.0,Others,Others,Others,Rajendra Prasad,Others,Others,Prasad Murella,Others,Others,April,Telugu,1
Action,7.5,92.0,Others,Others,A. R. Murugadoss,Others,Others,Harris Jayaraj,Others,Anthony,Others,September,Tamil,0
Tollywood,6.0,83.0,Others,Others,Others,Others,Others,Others,Others,Others,Others,July,Telugu,3
Romance,8.2,92.0,Others,Dil Raju,Others,Siddharth,Genelia D'Souza,Devi Sri Prasad,Vijay C Chakravarthy,Marthand K. Venkatesh,Sri Venkateswara Creations,August,Telugu,1
Comedy,7.9,86.0,Puri Jagannadh,Puri Jagannadh,Puri Jagannadh,Mahesh Babu,Ileana D'Cruz,Mani Sharma,Shyam K. Naidu,Marthand K. Venkatesh,Others,April,Telugu,1
Action,5.8,86.0,Others,Others,Paruchuri Brothers,Chiranjeevi,Trisha Krishnan,Mani Sharma,Chota K. Naidu,Anthony,Others,September,Telugu,1
Action,5.9,61.0,Surender Reddy,Others,Others,N. T. Rama Rao Jr.,Others,Mani Sharma,Others,Gowtham Raju,Others,July,Telugu,1
Comedy,7.7,81.0,S.S. Rajamouli,Others,Others,Ravi Teja,Anushka Shetty,M. M. Keeravani,Sarvesh Murari,Kotagiri Venkateswara Rao,Others,June,Telugu,2
Action,5.2,84.0,Gunasekhar,Others,Gunasekhar,Mahesh Babu,Trisha Krishnan,Harris Jayaraj,Others,A. Sreekar Prasad,Others,December,Telugu,2
Tollywood,7.7,92.0,Sekhar Kammula,Others,Sekhar Kammula,Sumanth,Others,Others,Vijay C. Kumar,Marthand K. Venkatesh,Others,May,Telugu,2
Action,4.7,75.0,Others,A.M. Ratnam,Others,Pawan Kalyan,Others,Vidyasagar,Others,V. T. Vijayan,Others,May,Telugu,2
Drama,7.2,81.0,K. Raghavendra Rao,Others,Others,Others,Others,M. M. Keeravani,S. Gopal Reddy,A. Sreekar Prasad,Others,March,Telugu,0
Romance,5.1,87.0,Others,Others,Others,Ram,Ileana D'Cruz,Chakri,Others,Kotagiri Venkateswara Rao,Others,January,Telugu,2
Action,3.9,83.0,Others,Others,Others,Sumanth,Others,Ramana Gogula,Others,Kotagiri Venkateswara Rao,Others,October,Telugu,4
Action,6.5,83.0,Krishna Vamsi,Others,Krishna Vamsi,Others,Others,Devi Sri Prasad,S. Gopal Reddy,Shankar,Others,December,Telugu,1
Comedy,7.1,90.0,A. Karunakaran,Allu Aravind,Kona Venkat,Allu Arjun,Genelia D'Souza,Yuvan Shankar Raja,Others,Anthony,Geetha Arts,January,Telugu,1
Comedy,5.2,83.0,S. V. Krishna Reddy,Others,Janardhan Maharshi,Rajendra Prasad,Srikanth,S. V. Krishna Reddy,Others,K. V. Krishna Reddy,Others,January,Telugu,1
Drama,4.3,83.0,Others,Others,Others,Nitin,Genelia D'Souza,Yuvan Shankar Raja,Others,Others,Others,March,Telugu,3
Comedy,5.6,83.0,Others,Others,Kona Venkat (dialogues),Others,Others,Chakri,Sameer Reddy,A. Sreekar Prasad,Others,January,Telugu,1
Action,4.9,84.0,Bhimaneni Srinivasa Rao,Others,Others,Pawan Kalyan,Others,Ramana Gogula,Others,Gowtham Raju,Others,December,Telugu,2
Comedy,3.5,58.0,Others,B. V. S. N. Prasad,Others,Ravi Teja,Ileana D'Cruz,M. M. Keeravani,Others,Kotagiri Venkateswara Rao,Others,December,Telugu,2
Drama,5.2,83.0,S. V. Krishna Reddy,R. R. Venkat,Others,Others,Others,Others,Others,Others,Others,May,Telugu,7
Comedy,5.3,83.0,Others,Others,Others,Rajendra Prasad,Others,Chakri,Sarath,Shankar,Others,November,Telugu,1
Comedy,5.3,83.0,Others,D. Ramanaidu,Others,Srikanth,Others,M. M. Srilekha,Others,Marthand K. Venkatesh,Suresh Productions,May,Telugu,4
Action,5.9,83.0,Others,Others,Others,Nandamuri Kalyan Ram,Others,Chakri,Others,Gautham Raju,Others,February,Telugu,3
Comedy,5.8,76.0,Others,Others,Others,Allari Naresh,Others,Others,Others,Others,E. V .V. Cinema,May,Telugu,2
Drama,7.2,83.0,Others,Urmila Gunnam,Others,Sharwanand,Others,M. M. Keeravani,Others,Others,Others,July,Telugu,4
Action,4.1,83.0,Ram Gopal Varma,Others,Others,Others,Others,Ilaiyaraaja,Others,Others,Others,September,Hindi,5
Action,4.1,83.0,Others,Others,Others,Srikanth,Others,Chakri,Others,Others,Others,December,Telugu,8
Action,7.4,83.0,Others,R. R. Venkat,Others,Jagapati Babu,Others,Vandemataram Srinivas,Vijay C. Kumar,Others,Others,October,Telugu,2
Tollywood,5.8,86.0,Others,Others,Others,Others,Others,Mani Sharma,Others,Marthand K. Venkatesh,Others,January,Telugu,0
Tollywood,5.2,83.0,Others,Mohan Babu,Others,Others,Others,Others,Others,Gowtam Raju,Others,August,Telugu,3
Drama,6.2,83.0,Others,Others,Others,Jagapati Babu,Priyamani,Others,Others,Others,Others,December,Telugu,2
Romance,7.5,83.0,Others,Others,Others,Others,Others,Others,Others,Others,Others,August,Telugu,2
Comedy,4.9,83.0,Others,Others,Others,Allari Naresh,Others,Koti,Others,Kotagiri Venkateswara Rao,Others,November,Telugu,1
Others,7.2,90.0,Others,Others,Others,Others,Others,Others,Others,Others,Others,September,Telugu,2
Thriller,6.0,83.0,Others,Others,G. Neelakanta Reddy,Others,Others,Others,Others,Others,Others,June,Telugu,4
Tollywood,6.0,83.0,Others,Others,Others,Others,Others,Others,Others,Others,Others,February,Telugu,6
Action,7.6,83.0,Others,Others,Others,Others,Anushka Shetty,S. A. Rajkumar,Others,Gautham Raju,Others,June,Telugu,4
Comedy,7.9,95.0,Sekhar Kammula,Sekhar Kammula,Sekhar Kammula,Varun Sandesh,Others,Mickey J Meyer,Others,Marthand K. Venkatesh,Others,September,Telugu,2
Action,5.4,88.0,Boyapati Srinu,D.Suresh Babu,Paruchuri Brothers (dialogues),Venkatesh,Nayantara,Devi Sri Prasad,Others,Marthand K. Venkatesh,Others,October,Telugu,1
Action,6.1,84.0,Puri Jagannadh,DVV Danayya,Puri Jagannadh,Allu Arjun,Hansika Motwani,Chakri,Shyam K. Naidu,Marthand K. Venkatesh,Others,January,Telugu,2
Comedy,7.4,89.0,S.S. Rajamouli,Urmila Gunnam,M. Ratnam (Dialogue),Jr. NTR,Priyamani,M. M. Keeravani,K. K. Senthil Kumar,Kotagiri Venkateswara Rao,Others,August,Telugu,0
Action,5.3,82.0,Puri Jagannadh,C. Ashwini Dutt,Puri Jagannadh,Others,Others,Mani Sharma,Shyam K. Naidu,Others,Others,September,Telugu,2
Action,7.5,86.0,Others,Others,Others,Others,Shriya Saran,A. R. Rahman,Others,Others,Others,June,Tamil,0
Comedy,7.4,87.0,Others,N. V. Prasad,Ramesh-Gopi (dialogues),Venkatesh,Trisha,Yuvan Shankar Raja,Others,Kola Bhaskar,Others,April,Telugu,0
Bollywood,6.3,84.0,Others,Others,M. Ratnam (dialogues),Gopichand,Others,Mani Sharma,Sekhar V. Joseph,Gautham Raju,Sri Lakshmi Narasimha Productions,July,Telugu,0
Comedy,7.8,79.0,Others,Others,Others,Others,Genelia D'Souza,Chakri,Prasad Murella,Marthand K Venkatesh,Others,April,Telugu,2
Action,4.7,74.0,V.V. Vinayak,Others,Others,Prabhas,Nayantara,Ramana Gogula,Sameer Reddy,Gowtham Raju,Others,January,Telugu,2
Romance,4.8,56.0,V. N. Aditya,M. S. Raju,Others,Others,Others,Devi Sri Prasad,Chota K. Naidu,Others,Sumanth Art Productions,May,Telugu,3
Bollywood,6.6,87.0,Sukumar,Others,Sukumar,Ram,Others,Devi Sri Prasad,R. Rathnavelu,A. Sreekar Prasad,Others,March,Telugu,2
Comedy,5.2,78.0,Others,Others,Paruchuri Brothers (dialogues),Chiranjeevi,Srikanth,Devi Sri Prasad,Chota K. Naidu,Marthand K Venkatesh,Others,July,Telugu,2
Comedy,6.6,78.0,Srinu Vaitla,Others,Srinu Vaitla,Ravi Teja,Nayantara,Mani Sharma,Others,Others,Others,June,Telugu,3
Action,5.7,86.0,Surender Reddy,Others,Vakkantham Vamsi,Mahesh Babu,Others,Mani Sharma,Sameer Reddy,Gowtham Raju,Others,October,Telugu,1
Drama,5.6,83.0,Others,R. B. Choudary,Others,Others,Others,S. A. Rajkumar,R. Madhi,Others,Others,November,Telugu,3
Tollywood,5.7,83.0,K. Vijaya Bhaskar,Sravanthi Ravi Kishore,Others,Sumanth,Others,Koti,Others,Sreekar Prasad,Sri Sravanthi Movies,April,Telugu,4
Tollywood,7.3,90.0,Ravi Babu,Ravi Babu,Others,Others,Others,Others,Sudhakar Reddy,Marthand K. Venkatesh,Others,December,Telugu,3
Action,2.4,83.0,Others,Others,Others,Nandamuri Balakrishna,Sneha,Others,Others,Others,Others,February,Telugu,1
Action,7.3,94.0,Chandra Sekhar Yeleti,Others,Others,Gopichand,Others,M. M. Keeravani,Others,Others,Others,March,Telugu,0
Comedy,4.3,78.0,Others,Others,Others,Others,Others,S. V. Krishna Reddy,Others,K. V. Krishna Reddy,Others,June,Telugu,2
Others,7.1,92.0,Others,Others,Others,Others,Sadha,Harris Jayaraj,Others,V. T. Vijayan,Others,April,Tamil,1
Tollywood,4.9,83.0,Others,Others,Others,Others,Others,Mani Sharma,Others,Others,Others,July,Telugu,5
Action,5.1,74.0,Teja,Allu Aravind,Others,Nandamuri Kalyan Ram,Kajal Aggarwal,R. P. Patnaik,Others,Others,Others,February,Telugu,6
Horror,6.9,83.0,Others,Others,Others,Others,Others,Others,Others,Others,Others,December,Telugu,4
Romance,3.6,83.0,Others,Others,Others,Navdeep,Others,Others,Others,Others,Others,January,Telugu,7
Romance,7.8,84.0,Others,Others,Others,Others,Others,A. R. Rahman,Others,A. Sreekar Prasad,Others,January,Hindi,1
Comedy,6.5,83.0,Others,Others,Others,Others,Others,Others,Others,Others,Others,February,Telugu,7
Romance,6.5,83.0,Others,D. Ramanaidu,Others,Sumanth,Sneha,Mani Sharma,Others,Marthand K. Venkatesh,Others,February,Telugu,4
Horror,6.3,75.0,Others,Others,Others,Others,Others,Others,K. V. Guhan,Suresh Urs,Others,March,Tamil,1
Drama,6.1,83.0,Others,Others,Posani Krishna Murali,Srikanth,Others,M. M. Srilekha,Others,Gautham Raju,Others,May,Telugu,3
Romance,4.3,83.0,Others,Others,Others,Nitin,Sadha,Chakri,Others,Gowtham Raju,United Movies,November,Telugu,4
Comedy,5.2,83.0,Others,Others,Others,Allari Naresh,Others,Others,Others,Others,E. V .V. Cinema,April,Telugu,2
Thriller,6.5,83.0,Others,Others,Others,Others,Others,Others,P.G. Vinda,Others,Others,February,Telugu,5
Thriller,5.1,82.0,Others,Others,Others,Others,Others,Mani Sharma,Others,Gowtam Raju,Others,May,Telugu,2
Action,5.6,85.0,Others,Others,Others,Others,Others,Yuvan Shankar Raja,Others,V. T. Vijayan,Others,January,Tamil,1
Romance,7.3,76.0,Others,Mohan Babu,Others,Manoj Manchu,Others,Yuvan Shankar Raja,Prasad Murella,Gautham Raju,Sree Lakshmi Prasanna Pictures,May,Telugu,2
Action,7.1,90.0,Others,Dil Raju,Others,Allu Arjun,Others,Mani Sharma,Vijay C Chakravarthy,Marthand K. Venkatesh,Sri Venkateswara Creations,May,Telugu,1
Romance,8.3,96.0,Others,Others,Others,Allari Naresh,Others,Others,Others,Others,Others,February,Telugu,1
Action,6.9,91.0,Puri Jagannadh,Others,Puri Jagannadh,Prabhas,Trisha,Others,Shyam K. Naidu,Others,Others,March,Telugu,1
Comedy,7.2,81.0,Trivikram Srinivas,Allu Aravind,Trivikram Srinivas,Pawan Kalyan,Ileana D'Cruz,Devi Sri Prasad,K. V. Guhan,Sreekar Prasad,Others,April,Telugu,2
Comedy,7.2,84.0,Mohan Krishna Indraganti,Others,Others,Others,Others,Kalyani Malik,P.G. Vinda,Marthand K. Venkatesh,Others,September,Telugu,3
Others,6.5,82.0,Others,M. S. Raju,Others,Others,Others,Others,Sekhar V. Joseph,Others,Sumanth Art Productions,January,Telugu,3
Others,7.2,91.0,Others,Others,Others,Others,Others,Songs:,Others,Others,Others,June,Tamil,1
Action,6.1,78.0,Others,V. Anand Prasad,M. Ratnam (dialogues),Gopichand,Anushka Shetty,Mani Sharma,Others,Marthand K Venkatesh,Bhavya Creations,September,Telugu,0
Comedy,7.1,83.0,Others,Others,Others,Others,Others,Others,P.G. Vinda,Marthand K Venkatesh,Others,November,Telugu,4
Comedy,7.2,83.0,Others,Mohan Babu,Others,Nagarjuna Akkineni,Others,M. M. Keeravani,Others,Gautham Raju,Sree Lakshmi Prasanna Pictures,February,Telugu,1
Romance,6.9,86.0,Others,Dil Raju,Srikanth Addala,Varun Sandesh,Others,Others,Chota K. Naidu,Marthand K. Venkatesh,Sri Venkateswara Creations,October,Telugu,2
Action,5.2,79.0,Others,C. Ashwini Dutt,Others,Jr. NTR,Hansika Motwani,Mani Sharma,Sameer Reddy,Marthand K. Venkatesh,Others,May,Telugu,2
Romance,4.2,83.0,K. Vijaya Bhaskar,Others,Abburi Ravi (dialogues),Others,Others,Others,Others,Marthand K. Venkatesh,Others,April,Telugu,1
Comedy,7.2,87.0,Srinu Vaitla,Sravanthi Ravi Kishore,Kona Venkat,Ram,Genelia D'Souza,Devi Sri Prasad,Prasad Murella,M.R. Varma,Sri Sravanthi Movies,June,Telugu,1
Comedy,5.4,87.0,Others,Nallamalupu Bujji,Kona Venkat,Venkatesh,Anushka Shetty,Songs:,K. Ravindra Babu,Sreekar Prasad,Others,October,Telugu,0
Action,5.8,83.0,Others,Others,Others,Gopichand,Others,Mani Sharma,Sarvesh Murari,Gautham Raju,Others,February,Telugu,1
Comedy,6.5,83.0,Others,Others,Others,Allari Naresh,Others,Koti,Others,Others,Others,October,Telugu,7
Romance,6.1,83.0,Others,Others,G. Neelakanta Reddy,Others,Genelia D'Souza,Chakri,Others,Others,Others,January,Telugu,4
Tollywood,3.5,83.0,Others,Others,Others,Others,Others,Vidyasagar,Others,Others,Others,February,Telugu,7
Action,5.6,83.0,Others,Kiran Kumar Koneru,Kona Venkat (dialogues),Jagapathi Babu,Others,Others,Others,Others,Others,August,Telugu,1
Others,6.0,83.0,Others,Others,Others,Others,Others,Others,Others,Others,Others,October,Telugu,8
Others,5.8,83.0,Others,Others,Others,Uday Kiran,Others,M. M. Keeravani,Others,K. V. Krishna Reddy,United Movies,September,Telugu,3
Drama,5.8,83.0,Others,Adityaram,Others,Jagapati Babu,Anushka Shetty,R. P. Patnaik,Others,M.R. Varma,Others,January,Telugu,1
Comedy,5.9,83.0,Others,Others,Others,Allari Naresh,Others,M. M. Srilekha,Others,Marthand K. Venkatesh,Others,April,Telugu,4
Others,3.7,83.0,Others,Others,Others,Others,Tamannaah,Chakri,Others,Others,Others,April,Telugu,2
Romance,6.9,96.0,A. Karunakaran,Others,Others,Others,Others,Others,Others,Marthand K. Venkatesh,Others,July,Telugu,2
Romance,7.1,83.0,Ravi Babu,Ramoji Rao,Others,Others,Others,Shekar Chandra,Others,Marthand K. Venkatesh,Ushakiran Movies,December,Telugu,0
Drama,6.8,93.0,Puri Jagannadh,DVV Danayya,Puri Jagannadh,Ravi Teja,Others,Chakri,Shyam K Naidu,Others,Others,December,Telugu,4
Comedy,4.3,83.0,Others,Others,Others,Nitin,Kajal Aggarwal,Chakri,Others,Others,Others,March,Telugu,5
Horror,5.8,83.0,Others,Others,Others,Jagapati Babu,Kalyani,Others,Others,Others,Others,September,Telugu,1
Comedy,3.8,83.0,Others,Others,Others,Others,Others,Others,Others,Marthand K. Venkatesh,Others,August,Telugu,4
Comedy,2.2,57.0,Others,YVS Chowdary,Chintapalli Ramana (dialogues),Nandamuri Balakrishna,Anushka Shetty,Mani Sharma,Others,Kotagiri Venkateswara Rao,Others,January,Telugu,0
Action,5.4,83.0,Others,Others,Others,Sumanth,Kajal Aggarwal,Mani Sharma,Others,Others,Others,January,Telugu,4
Action,4.3,83.0,Others,Others,Others,Jagapati Babu,Srikanth,Chakri,Sarath,Gautham Raju,Others,March,Telugu,2
Tollywood,5.1,83.0,Teja,Teja,Teja,Others,Others,Chakri,Others,Shankar,Others,October,Telugu,4
Drama,6.0,83.0,Others,Others,Others,Uday Kiran,Others,Others,Others,Others,Others,February,Telugu,5
Tollywood,4.4,83.0,Others,Others,Others,Others,Simran,Others,Others,Others,Others,March,Telugu,5
Drama,4.8,83.0,Others,Others,Others,Allari Naresh,Others,Others,Others,Others,Others,February,Telugu,5
Tollywood,4.3,83.0,Others,Others,Others,Others,Others,Others,Others,Others,Others,March,Telugu,7
Romance,6.7,88.0,Others,Sekhar Kammula,Others,Others,Others,Others,Others,Others,Others,November,Telugu,1
Action,6.7,83.0,Others,Others,Others,Others,Priyamani,Mickey J Meyer,Ram Prasad,Gowtham Raju,N.T.R. Arts,July,Telugu,2
Others,5.9,83.0,Others,Others,Others,Nikhil Siddharth,Others,Mani Sharma,Others,Marthand K. Venkatesh,Others,November,Telugu,5
Comedy,2.6,83.0,Others,Others,Others,Others,Others,Sai Karthik,Others,Others,Others,July,Telugu,7
Action,7.7,81.0,Others,Allu Aravind,Others,Ram Charan,Kajal Aggarwal,M. M. Keeravani,K. K. Senthil Kumar,Kotagiri Venkateswara Rao,Geetha Arts,July,Telugu,0
Horror,7.3,85.0,Others,Others,Chintapalli Ramana,Anushka Shetty,Others,Koti,K. K. Senthil Kumar,Marthand K Venkatesh,Others,January,Telugu,2
Action,7.3,89.0,Sukumar,Others,Sukumar,Allu Arjun,Others,Devi Sri Prasad,Others,Marthand K. Venkatesh,Others,November,Telugu,2
Action,6.1,80.0,Others,Others,Others,Prabhas,Anushka Shetty,Mani Sharma,Others,Marthand K. Venkatesh,Others,April,Telugu,2
Romance,7.1,93.0,Others,Others,Others,Siddharth,Tamannaah,Others,Others,A. Sreekar Prasad,Sri Lakshmi Narasimha Productions,February,Telugu,1
Romance,6.6,88.0,Others,DVV Danayya,Others,Siddharth,Others,Yuvan Shankar Raja,Others,Marthand K Venkatesh,Others,July,Telugu,1
Action,4.8,76.0,Others,Bandla Ganesh,Others,Ravi Teja,Nayantara,Others,Others,Marthand K. Venkatesh,Parameswara Art Productions,August,Telugu,2
Others,5.5,84.0,Puri Jagannadh,Others,Others,Others,Others,Mani Sharma,Shyam K Naidu,Others,Others,October,Telugu,4
Action,5.1,83.0,Others,Nandamuri Kalyan Ram,Others,Nandamuri Kalyan Ram,Hansika Motwani,Others,Others,Gowtam Raju,Others,October,Telugu,4
Action,6.1,77.0,Krishna Vamsi,Others,Others,Srikanth,Others,Others,Others,Gautham Raju,Others,October,Telugu,4
Romance,7.5,83.0,Chandra Sekhar Yeleti,Others,Others,Manoj Manchu,Others,Mahesh Shankar,Sarvesh Murari,Others,Others,May,Telugu,4
Romance,5.2,77.0,Krishna Vamsi,Others,Krishna Vamsi,Others,Genelia D'Souza,Others,Others,Shankar,Others,January,Telugu,3
Comedy,5.2,83.0,B. Gopal,Others,Others,Ram,Hansika Motwani,Chakri,Others,Others,Sumanth Art Productions,January,Telugu,3
Drama,5.1,83.0,Others,Sivalenka Krishna Prasad,M. Ratnam (dialogues),Nandamuri Balakrishna,Priyamani,Mani Sharma,Others,Kola Bhaskar,Others,May,Telugu,1
Comedy,6.7,83.0,Others,Others,Others,Others,Others,Others,Others,Marthand K Venkatesh,Others,November,Telugu,4
Comedy,7.8,87.0,Surender Reddy,R. R. Venkat,Others,Ravi Teja,Ileana D'Cruz,S. Thaman,Others,Gautham Raju,Others,May,Telugu,0
Comedy,5.3,83.0,Others,Others,Others,Others,Trisha,S. Thaman,Others,Gautham Raju,Others,September,Telugu,1
Comedy,6.8,79.0,Others,D. Ramanaidu,Others,Allari Naresh,Others,Koti,Others,Gautham Raju,Suresh Productions,October,Telugu,2
Romance,4.9,83.0,Others,Puri Jagannadh,Others,Others,Others,Others,Others,Others,Others,October,Telugu,6
Action,6.2,89.0,Others,Dil Raju,Others,Naga Chaitanya,Others,Others,Sameer Reddy,Marthand K Venkatesh,Sri Venkateswara Creations,September,Telugu,2
Tollywood,5.6,72.0,Others,Others,Others,Others,Others,Devi Sri Prasad,Others,Others,Others,June,Telugu,2
Thriller,4.7,83.0,Others,Manjula Ghattamaneni,Others,Others,Others,Others,Others,Others,Others,June,Telugu,4
Action,7.2,79.0,Others,Priyanka Dutt,Others,Nara Rohit,Others,Mani Sharma,Others,Marthand K. Venkatesh,Others,September,Telugu,2
Thriller,6.6,83.0,Ravi Babu,V. Anand Prasad,Others,Others,Others,Shekar Chandra,Sudhakar Reddy,Others,Bhavya Creations,December,Telugu,4
Drama,7.4,83.0,Others,Others,Others,Others,Others,Others,Others,Others,Others,March,Telugu,3
Thriller,6.8,83.0,Others,Others,Others,Others,Others,Mani Sharma,Others,Others,Others,May,Telugu,6
Romance,6.3,83.0,Others,Others,Others,Others,Others,Others,Others,Others,Others,July,Telugu,4
Romance,5.1,89.0,Others,Sravanthi Ravi Kishore,Others,Ram,Kajal Aggarwal,Mickey J Meyer,Hari Anumolu,Sreekar Prasad,Sri Sravanthi Movies,September,Telugu,2
Family,7.3,83.0,Others,Others,Others,Others,Others,Chakri,Others,Others,Others,June,Telugu,7
Action,4.3,83.0,Others,Others,Others,Varun Sandesh,Others,Others,Sarvesh Murari,Marthand K Venkatesh,Anandi Art Creations,November,Telugu,4
Tollywood,4.5,73.0,Others,Others,Others,Nitin,Priyamani,Others,Others,Others,Others,February,Telugu,6
Romance,4.8,83.0,Others,Others,Others,Varun Sandesh,Others,Mani Sharma,Others,Others,Others,June,Telugu,5
