Genere,Imdb_rating,User_rating,Directed by,Produced by,Written by,Hero,Heroine,Music by,Cinematography,Edited by,company,Release date,Language,num_nulls
Romance,3.4,83.0,Others,Others,Others,Nitin,Ileana D'Cruz,Mani Sharma,Others,Kotagiri Venkateswara Rao,Others,September,Telugu,5
Action,4.9,80.0,Others,Others,Others,Vikram,Shriya Saran,Devi Sri Prasad,Others,Others,Others,August,Tamil,1
Comedy,4.6,83.0,Others,Others,Others,Sumanth,Others,Ramana Gogula,Others,M.R. Varma,Others,June,Telugu,4
Drama,4.5,83.0,Others,Others,Others,Jagapati Babu,Others,M. M. Srilekha,Others,Others,Others,May,Telugu,1
Bollywood,6.0,81.0,Others,Others,Others,Others,Others,Others,Others,Others,Others,September,Telugu,2
Action,7.3,93.0,Others,Others,Others,Others,Others,Harris Jayaraj,Others,Others,Others,April,Tamil,0
Horror,7.1,92.0,Others,Others,Others,Others,Others,Others,Others,Sreekar Prasad,Others,March,Tamil,1
Romance,6.0,83.0,Others,Ramoji Rao,Others,Others,Others,Sunil Kashyap,Others,Gautham Raju,Ushakiran Movies,October,Telugu,4
Tollywood,5.6,83.0,Others,Kiran Kumar Koneru,Others,Jagapati Babu,Others,Others,Others,Others,Others,February,Telugu,2
Tollywood,5.1,87.0,Others,Bellamkonda Suresh,Others,Nani,Others,Others,Shyam K. Naidu,Marthand K. Venkatesh,Others,June,Telugu,3
Tollywood,6.1,83.0,Others,Urmila Gunnam,Others,Others,Genelia D'Souza,Others,Others,Others,Others,December,Telugu,5
Romance,7.8,94.0,Others,Manjula Ghattamaneni,Others,Naga Chaitanya,Samantha Ruth Prabhu,A. R. Rahman,Others,Others,Others,February,Telugu,2
Action,8.3,93.0,Others,Others,Deva Katta,Others,Others,Mahesh Shankar,Others,Dharmendra Kakarala,Others,April,Telugu,2
Comedy,7.6,90.0,Trivikram Srinivas,Others,Trivikram Srinivas,Mahesh Babu,Anushka Shetty,Mani Sharma,Others,A. Sreekar Prasad,Others,October,Telugu,2
Romance,7.4,85.0,A. Karunakaran,B. V. S. N. Prasad,Darling Swamy (dialogues),Prabhas,Kajal Aggarwal,Others,Others,Kotagiri Venkateswara Rao,Sri Venkateswara Cine Chitra,April,Telugu,0
Drama,8.1,92.0,Sekhar Kammula,Others,Sekhar Kammula,Rana Daggubati,Others,Mickey J Meyer,Vijay C. Kumar,Marthand K Venkatesh,Others,February,Telugu,1
Romance,7.2,88.0,Others,Dil Raju,Others,N. T. Rama Rao Jr.,Kajal Aggarwal,S. Thaman,Chota K. Naidu,Marthand K Venkatesh,Sri Venkateswara Creations,October,Telugu,1
Comedy,7.5,86.0,Others,Others,Others,Sunil,Others,M. M. Keeravani,Ram Prasad,Kotagiri Venkateswara Rao,Others,July,Telugu,1
Action,3.6,75.0,Gunasekhar,DVV Danayya,Gunasekhar,Allu Arjun,Others,Mani Sharma,Others,Anthony,Others,March,Telugu,3
Comedy,6.8,88.0,V.V. Vinayak,Others,Kona Venkat,Others,Nayantara,Devi Sri Prasad,Chota K. Naidu,Gowtham Raju,Annapurna Studios,January,Telugu,1
Tollywood,7.2,83.0,Others,Others,Others,Others,Others,R. P. Patnaik,Others,Others,Others,December,Telugu,4
Action,4.9,83.0,Others,D. Siva Prasad Reddy,Others,Nagarjuna Akkineni,Others,Others,Sarvesh Murari,Others,Others,February,Telugu,2
Comedy,3.6,83.0,Others,Others,Others,Nikhil Siddharth,Others,Others,Others,Marthand K. Venkatesh,Others,February,Telugu,4
Romance,6.2,76.0,Others,Others,Others,Others,Others,Others,Others,Marthand K. Venkatesh,Others,September,Telugu,0
Action,6.1,76.0,Boyapati Srinu,Others,Others,Nandamuri Balakrishna,Nayantara,Chakri,Arthur A. Wilson,Anthony,United Movies,April,Telugu,1
Action,5.4,73.0,Others,Others,Others,Venkatesh,Trisha,Devi Sri Prasad,Prasad Murella,M.R. Varma,Suresh Productions,January,Telugu,0
Comedy,6.2,73.0,Others,D. Siva Prasad Reddy,Others,Nagarjuna Akkineni,Anushka Shetty,S. Thaman,Sarvesh Murari,Marthand K. Venkatesh,Others,December,Telugu,1
Comedy,5.5,84.0,Others,Dil Raju,Others,Others,Others,Others,Sekhar V. Joseph,Marthand K Venkatesh,Sri Venkateswara Creations,May,Telugu,2
Action,4.5,67.0,Others,Bellamkonda Suresh,Paruchuri Brothers,Anushka Shetty,Others,Others,Shyam K. Naidu,Marthand K Venkatesh,Sri Sai Ganesh Productions,December,Telugu,0
Action,5.3,83.0,Others,Others,Others,Jagapathi Babu,Others,Others,Others,Others,Others,September,Telugu,1
Drama,5.1,58.0,Others,Others,Others,Others,Others,Chakri,Others,K. V. Krishna Reddy,Others,October,Telugu,0
Action,6.8,87.0,Others,Bellamkonda Suresh,Others,Ravi Teja,Others,Others,Others,Others,Others,January,Telugu,2
Comedy,3.8,78.0,Others,Others,Others,Pawan Kalyan,Others,A. R. Rahman,Others,Others,Others,September,Telugu,3
Drama,7.3,83.0,Others,Others,Others,Sharwanand,Others,Anoop Rubens,Others,Others,Others,May,Telugu,5
Drama,7.1,70.0,K. Raghavendra Rao,Lakshmi Manchu,Others,Manoj Manchu,Others,M. M. Keeravani,S. Gopal Reddy,Marthand K. Venkatesh,Sree Lakshmi Prasanna Pictures,July,Telugu,2
Action,5.8,73.0,Puri Jagannadh,Bellamkonda Suresh,Puri Jagannadh,Gopichand,Priyamani,Chakri,Shyam K Naidu,Marthand K Venkatesh,Sri Sai Ganesh Productions,May,Telugu,1
Comedy,6.1,84.0,Others,R. R. Venkat,Others,Ravi Teja,Shriya Saran,Mani Sharma,Sameer Reddy,Others,Others,June,Telugu,2
Romance,7.8,93.0,Others,Others,Others,Nani,Others,Others,Others,Others,Others,July,Telugu,4
Drama,4.3,87.0,Others,Others,Others,Anushka Shetty,Others,Others,Others,Marthand K Venkatesh,Others,June,Telugu,4
Romance,3.2,83.0,Others,Dil Raju,Others,Varun Sandesh,Others,Songs:,Others,Marthand K Venkatesh,Others,March,Telugu,3
Drama,5.1,84.0,Others,Others,Sampath Nandi,Varun Sandesh,Others,Chakri,Others,Others,Others,November,Telugu,4
Comedy,5.4,83.0,Others,Others,Others,Allari Naresh,Others,Chakri,Others,Others,Others,September,Telugu,4
Action,4.3,83.0,Others,Others,Others,Navdeep,Others,Mani Sharma,Others,Marthand K. Venkatesh,Others,March,Telugu,4
Bollywood,7.6,87.0,Ram Gopal Varma,Others,Others,Others,Others,Others,P. S. Vinod,Others,Others,October,Hindi,1
Drama,3.8,83.0,Others,Others,Others,Jagapati Babu,Priyamani,Others,Others,Gautham Raju,Others,March,Telugu,2
Drama,4.3,83.0,Others,Others,Others,Others,Others,Chakri,Others,Others,Others,December,Telugu,5
Action,8.5,75.0,Others,Others,Others,Srikanth,Others,Others,Others,Sreekar Prasad,Others,April,Others,2
Action,6.1,83.0,Others,Nandamuri Kalyan Ram,Others,Others,Others,Mani Sharma,Sarvesh Murari,Gowtam Raju,N.T.R. Arts,November,Telugu,3
Drama,7.2,76.0,Ravi Babu,Others,Others,Vikram,Others,Others,Sudhakar Reddy,Marthand K. Venkatesh,Others,October,Telugu,2
Drama,6.1,83.0,Others,Others,Others,Sundeep Kishan,Others,Sunil Kashyap,Others,Others,Others,July,Telugu,2
Drama,3.9,83.0,Others,Others,Others,Allari Naresh,Others,Mani Sharma,Others,Others,Others,July,Telugu,5
Action,6.3,89.0,Others,Others,Others,Others,Tamannaah,Yuvan Shankar Raja,R. Madhi,Others,Others,April,Tamil,0
Action,7.1,90.0,Others,Dil Raju,Others,Prabhas,Kajal Aggarwal,Devi Sri Prasad,Vijay C Chakravarthy,Others,Sri Venkateswara Creations,April,Telugu,0
Comedy,7.5,85.0,Srinu Vaitla,Ram Achanta,Srinu Vaitla,Mahesh Babu,Samantha Ruth Prabhu,S. Thaman,K. V. Guhan,M. R. Varma,14 Reels Entertainment,September,Telugu,1
Drama,7.1,77.0,Others,Others,Others,Nandamuri Balakrishna,Others,Ilaiyaraaja,Others,Others,Others,November,Telugu,1
Comedy,7.8,95.0,Others,Others,Others,Nani,Others,Others,Sai Sriram,Prawin Pudi,Others,September,Telugu,0
Drama,7.7,93.0,Others,Others,Others,Nani,Others,Kalyani Malik,Others,Marthand K Venkatesh,Others,January,Telugu,2
Action,6.6,88.0,Others,Others,Others,Pawan Kalyan,Others,Yuvan Shankar Raja,P. S. Vinod,A. Sreekar Prasad,Others,December,Telugu,0
Drama,3.8,70.0,Krishna Vamsi,Others,Others,Gopichand,Others,Others,Others,Gautham Raju,Sri Lakshmi Narasimha Productions,November,Telugu,0
Comedy,6.6,84.0,Surender Reddy,B. V. S. N. Prasad,Vakkantham Vamsi,Others,Others,Devi Sri Prasad,Others,Gautham Raju,Sri Venkateswara Cine Chitra,October,Telugu,1
Drama,6.8,89.0,Mohan Krishna Indraganti,Others,Others,Sumanth,Others,Kalyani Malik,K. K. Senthil Kumar,Others,Others,January,Telugu,4
Comedy,3.8,79.0,Others,D. Siva Prasad Reddy,Others,Others,Kajal Aggarwal,Devi Sri Prasad,Others,Dharmendra Kakarala,Others,August,Telugu,1
Comedy,6.2,84.0,Others,Bellamkonda Suresh,Others,Ram,Hansika Motwani,S. Thaman,Others,Others,Sri Sai Ganesh Productions,August,Telugu,4
Comedy,3.7,69.0,Others,Others,Paruchuri Brothers,Ravi Teja,Kajal Aggarwal,Others,Chota K. Naidu,Marthand K. Venkatesh,Others,May,Telugu,2
Comedy,4.4,75.0,V. V. Vinayak,Allu Aravind,Others,Allu Arjun,Tamannaah,M. M. Keeravani,Others,Gowtam Raju,Geetha Arts,June,Telugu,0
Action,5.1,87.0,Puri Jagannadh,Nallamalupu Bujji,Puri Jagannadh,Rana Daggubati,Ileana D'Cruz,Others,Others,Others,Others,April,Telugu,4
Romance,2.5,77.0,Others,Others,Others,Siddharth,Others,Others,Others,Others,Others,June,Telugu,1
Action,7.3,90.0,Others,Prakash Raj,Others,Nagarjuna Akkineni,Others,Others,K. V. Guhan,Others,Others,February,Tamil,1
Action,6.3,86.0,Harish Shankar,Others,Others,Ravi Teja,Others,S. Thaman,Ram Prasad,Others,Others,January,Telugu,2
Family,5.4,80.0,Others,Others,Others,Siddharth,Shruti Haasan,Others,Others,Others,Others,January,Telugu,2
Romance,6.7,87.0,Others,Dil Raju,Others,Others,Hansika Motwani,Others,Others,Marthand K. Venkatesh,Sri Venkateswara Creations,November,Telugu,0
Comedy,5.9,83.0,Others,Others,Others,Allari Naresh,Others,Others,Others,Others,Others,March,Telugu,6
Action,6.6,84.0,Others,Nagarjuna Akkineni,Others,Nagarjuna Akkineni,Sneha,Others,Shyam K. Naidu,Kotagiri Venkateswara Rao,Annapurna Studios,December,Telugu,0
Comedy,6.1,83.0,Others,Others,Others,Allari Naresh,Others,Vandemataram Srinivas,Others,Kotagiri Venkateswara Rao,Others,May,Telugu,4
Action,7.8,65.0,Others,Others,Others,Others,Others,Harris Jayaraj,Others,Anthony,Others,April,Tamil,0
Action,3.5,75.0,Others,Others,Others,Naga Chaitanya,Others,Others,Others,Others,Others,December,Telugu,6
Comedy,7.1,85.0,Ravi Babu,Ramoji Rao,Others,Others,Others,Shekar Chandra,Sudhakar Reddy,Marthand K Venkatesh,Ushakiran Movies,November,Telugu,1
Action,6.1,91.0,Others,Others,A. R. Murugadoss,Others,Shruti Haasan,Harris Jayaraj,Others,Anthony,Others,October,Tamil,1
Romance,4.6,83.0,V. N. Aditya,Others,Others,Sumanth,Others,Koti,Others,Others,Others,March,Telugu,6
Action,6.0,83.0,Others,Others,Paruchuri Brothers (dialogues),Jagapati Babu,Others,Koti,Others,Kotagiri Venkateswara Rao,Others,December,Telugu,2
Comedy,5.1,83.0,Ram Gopal Varma,Kiran Kumar Koneru,Ram Gopal Varma,Sunil,Others,Koti,Others,Others,Others,February,Telugu,3
Action,2.4,83.0,Others,C. Kalyan,Others,Nandamuri Balakrishna,Others,Mani Sharma,Others,Gautham Raju,Others,January,Telugu,3
Thriller,3.9,83.0,Ram Gopal Varma,Kiran Kumar Koneru,Others,Ravi Teja,Others,Others,Others,Others,Others,March,Telugu,2
Comedy,7.1,83.0,Others,Vishnu Manchu,Others,Others,Others,Mani Sharma,Others,Gautham Raju,24 Frames Factory,February,Telugu,3
Action,6.6,80.0,K. Vijaya Bhaskar,Others,Others,Aadi,Others,Anoop Rubens,Others,Gautham Raju,Others,February,Telugu,5
Comedy,2.5,83.0,V. N. Aditya,D. Ramanaidu,Others,Navdeep,Others,Koti,Others,Others,Suresh Productions,August,Telugu,5
Drama,5.7,83.0,Others,Others,Others,Nikhil Siddharth,Others,Chakri,Others,Gautham Raju,Others,November,Telugu,5
Others,7.1,76.0,Others,Others,Others,Jagapathi Babu,Others,Chakri,Others,Kotagiri Venkateswara Rao,Others,February,Telugu,0
Romance,6.1,83.0,Others,Others,Others,Varun Sandesh,Others,Others,Others,Others,Others,February,Telugu,3
Tollywood,4.4,83.0,Others,Others,Others,Gopichand,Others,Chakri,Others,Shankar,Bhavya Creations,January,Telugu,3
Action,3.2,74.0,Others,Others,Others,Vikram,Others,Yuvan Shankar Raja,R. Madhi,Others,Others,December,Tamil,0
Action,4.6,83.0,Others,Others,Others,Sumanth,Others,Others,Others,Others,Others,August,Telugu,7
Tollywood,6.6,87.0,Others,Others,Others,Nara Rohit,Others,Mani Sharma,Others,Marthand K Venkatesh,Others,November,Telugu,1
Action,6.0,83.0,Others,Others,Others,Jagapathi Babu,Others,M. M. Srilekha,Others,Gautham Raju,Others,March,Telugu,3
Comedy,6.2,84.0,Others,Others,Others,Others,Others,Yuvan Shankar Raja,Arthur A. Wilson,Suresh Urs,Others,June,Tamil,0
Comedy,5.8,77.0,Jayanth C. Paranjee,Bandla Ganesh,Others,Pawan Kalyan,Trisha Krishnan,Mani Sharma,Jayanan Vincent,Others,Others,April,Telugu,2
Romance,6.0,83.0,Others,Others,Others,Others,Others,Mahesh Shankar,Others,Others,Others,January,Telugu,8
Bollywood,7.8,86.0,Others,Others,K. V. Vijayendra Prasad,Others,Others,M. M. Keeravani,K. K. Senthil Kumar,Kotagiri Venkateswara Rao,Varahi Chalana Chitram,July,Telugu,0
Comedy,7.2,92.0,Trivikram Srinivas,S. Radha Krishna,Trivikram Srinivas,Allu Arjun,Ileana D'Cruz,Devi Sri Prasad,Chota K. Naidu,Prawin Pudi,Others,August,Telugu,1
Action,4.4,76.0,Others,R. B. Choudary,Sampath Nandi,Ram Charan,Tamannaah,Mani Sharma,Sameer Reddy,Gautham Raju,Others,April,Telugu,1
Romance,6.4,86.0,Sekhar Kammula,Sekhar Kammula,Sekhar Kammula,Others,Others,Mickey J Meyer,Vijay C. Kumar,Marthand K. Venkatesh,Others,September,Telugu,1
Comedy,7.2,79.0,Harish Shankar,Bandla Ganesh,Others,Pawan Kalyan,Shruti Haasan,Devi Sri Prasad,Jayanan Vincent,Gautham Raju,Parameswara Art Productions,May,Telugu,1
Romance,6.2,88.0,A. Karunakaran,Sravanthi Ravi Kishore,Others,Ram,Tamannaah,Others,Others,Others,Sri Sravanthi Movies,June,Telugu,2
Action,6.9,91.0,Others,Others,Others,Rana Daggubati,Nayantara,Mani Sharma,Others,Others,Others,November,Telugu,0
Action,5.8,84.0,Puri Jagannadh,DVV Danayya,Puri Jagannadh,Pawan Kalyan,Tamannaah,Mani Sharma,Shyam K. Naidu,S. R. Shekhar,Others,October,Telugu,0
Comedy,5.9,79.0,Others,R. R. Venkat,Others,Sunil,Others,Anoop Rubens,Prasad Murella,Kotagiri Venkateswara Rao,Others,February,Telugu,1
Comedy,3.6,80.0,Puri Jagannadh,B. V. S. N. Prasad,Puri Jagannadh,Others,Others,Others,Shyam K. Naidu,S. R. Shekhar,Sri Venkateswara Cine Chitra,August,Telugu,0
Comedy,5.3,83.0,Others,Others,Others,Others,Others,Others,Others,Marthand K. Venkatesh,Others,March,Telugu,1
Action,5.3,78.0,Boyapati Srinu,Others,Others,Others,Trisha Krishnan,M. M. Keeravani,Arthur A. Wilson,Anthony,Others,April,Telugu,1
Others,7.3,78.0,Others,Others,Others,Siddharth,Others,Others,Others,Others,Others,February,Tamil,1
Romance,4.8,79.0,Others,Priyanka Dutt,Others,Ravi Teja,Kajal Aggarwal,Devi Sri Prasad,Vijay C Chakravarthy,Kotagiri Venkateswara Rao,Others,December,Telugu,1
Horror,6.8,78.0,Ravi Babu,Ravi Babu,Others,Others,Others,Others,Sudhakar Reddy,Others,Others,September,Telugu,4
Action,4.1,66.0,Others,Others,Others,Nandamuri Balakrishna,Others,Kalyani Malik,Others,Kotagiri Venkateswara Rao,Others,June,Telugu,1
Romance,7.3,94.0,Others,Others,Others,Nani,Others,Ilaiyaraaja,Others,Anthony,Others,December,Telugu,1
Others,6.2,88.0,Others,Others,Others,Sundeep Kishan,Regina Cassandra,Others,Others,Others,Others,November,Telugu,3
Comedy,3.7,75.0,Gunasekhar,YVS Chowdary,Gunasekhar,Ravi Teja,Others,S. Thaman,Sarvesh Murari,Others,Others,February,Telugu,2
Romance,7.1,90.0,Others,Sai Korrapati,Hanu Raghavapudi,Others,Others,Others,Others,Others,Varahi Chalana Chitram,August,Telugu,1
Action,5.5,78.0,Others,Others,Others,Others,Anushka Shetty,Devi Sri Prasad,Chota K. Naidu,Gautham Raju,Others,November,Telugu,1
Bollywood,3.6,83.0,Others,Others,Others,Srikanth,Others,Chakri,Others,Others,Others,December,Telugu,2
Comedy,5.7,83.0,Bhimaneni Srinivasa Rao,Others,Others,Allari Naresh,Others,Others,Others,Gowtham Raju,Others,August,Telugu,2
Comedy,7.1,85.0,Others,Mohan Babu,Marudhuri Raja (dialogues),Others,Hansika Motwani,Others,Others,M. R. Varma,24 Frames Factory,October,Telugu,1
Action,4.9,83.0,Others,Others,Others,Ravi Teja,Others,Others,Others,Gautham Raju,Others,May,Telugu,0
Drama,7.4,90.0,Others,Others,Others,Others,Others,Others,Others,Others,Others,December,Telugu,2
Tollywood,5.6,83.0,Others,Chanti Addala,Others,Allari Naresh,Others,Koti,Others,Gautham Raju,Others,December,Telugu,1
Comedy,5.2,83.0,Others,Bellamkonda Suresh,Kona Venkat,Venkatesh,Trisha,S. Thaman,Shyam K. Naidu,Gautham Raju,Sri Sai Ganesh Productions,January,Telugu,1
Tollywood,7.1,81.0,K. Raghavendra Rao,Others,Paruchuri Brothers (dialogues),Others,Srikanth,M. M. Keeravani,S. Gopal Reddy,Others,Others,September,Telugu,0
Action,7.9,90.0,Others,Others,Others,Others,Kajal Aggarwal,Harris Jayaraj,Others,A. Sreekar Prasad,Others,November,Tamil,1
Drama,3.6,83.0,Others,Others,Kona Venkat,Rana Daggubati,Genelia D'Souza,Chakri,Others,Others,United Movies,March,Telugu,2
Romance,5.7,85.0,Others,Others,Paruchuri Brothers (dialogues),Others,Others,Others,S. Gopal Reddy,K. V. Krishna Reddy,Others,July,Telugu,2
Comedy,6.7,86.0,Others,Others,Paruchuri Brothers (dialogues),Manoj Manchu,Others,Yuvan Shankar Raja,Others,Others,Others,March,Telugu,1
Drama,5.5,83.0,Others,Lakshmi Manchu,Others,Nandamuri Balakrishna,Others,Others,Others,Others,Others,July,Telugu,1
Drama,4.6,83.0,Others,Others,Others,Nandamuri Balakrishna,Others,Chakri,Others,Gautham Raju,Others,August,Telugu,3
Comedy,3.2,83.0,Others,Others,Others,Others,Others,Others,Others,Marthand K. Venkatesh,Others,December,Telugu,3
Others,7.1,81.0,Others,Others,Others,Others,Others,Others,Others,Others,Others,December,Tamil,1
Thriller,6.4,83.0,Others,Others,Others,Navdeep,Sadha,Others,Others,Others,Others,November,Telugu,2
Comedy,6.9,83.0,Others,Others,Others,Others,Regina Cassandra,Others,Others,Others,Others,February,Telugu,2
Romance,5.5,82.0,Others,R. R. Venkat,Others,Aadi,Others,Anoop Rubens,Others,Others,Others,March,Telugu,2
Comedy,3.5,83.0,Others,Others,Others,Sharwanand,Others,Others,Others,Others,Others,December,Telugu,5
Drama,8.1,83.0,Others,Others,Others,Rajendra Prasad,Kalyani,Koti,Hari Anumolu,Gautham Raju,Others,June,Telugu,1
Action,6.3,77.0,Others,Others,Others,Others,Others,Yuvan Shankar Raja,Others,Suresh Urs,Others,July,Tamil,0
Tollywood,6.0,81.0,Others,Others,Others,Others,Others,Others,Others,Others,Others,December,Telugu,3
Comedy,7.6,87.0,Others,Dil Raju,Srikanth Addala,Others,Others,Mickey J Meyer,K. V. Guhan,Marthand K. Venkatesh,Sri Venkateswara Creations,January,Telugu,0
Comedy,7.2,84.0,Trivikram Srinivas,B. V. S. N. Prasad,Trivikram Srinivas,Pawan Kalyan,Others,Devi Sri Prasad,Prasad Murella,Prawin Pudi,Sri Venkateswara Cine Chitra,September,Telugu,1
Action,7.2,85.0,Others,V. Vamsi Krishna Reddy,Koratala Siva,Prabhas,Others,Devi Sri Prasad,Others,Kotagiri Venkateswara Rao,UV Creations,February,Telugu,1
Comedy,6.5,83.0,Others,Bandla Ganesh,Others,N. T. Rama Rao Jr.,Kajal Aggarwal,S. Thaman,K. V. Guhan,M. R. Varma,Parameswara Art Productions,April,Telugu,1
Action,5.5,84.0,V. V. Vinayak,DVV Danayya,Others,Ram Charan,Kajal Aggarwal,S. Thaman,Chota K. Naidu,Gautham Raju,Others,January,Telugu,1
Drama,7.2,74.0,Others,Others,Others,Nitin,Others,Anoop Rubens,Others,Prawin Pudi,Others,April,Telugu,1
Horror,7.2,88.0,Others,Others,Others,Others,Others,Others,Others,Others,Others,June,Telugu,2
Action,6.6,84.0,Chandra Sekhar Yeleti,B. V. S. N. Prasad,Others,Gopichand,Others,Others,Others,Others,Sri Venkateswara Cine Chitra,July,Telugu,1
Others,7.4,92.0,Others,Others,Others,Nikhil Siddharth,Others,Others,Others,Others,Others,March,Telugu,2
Comedy,5.6,88.0,Puri Jagannadh,Bandla Ganesh,Others,Allu Arjun,Others,Devi Sri Prasad,Others,Others,Parameswara Art Productions,May,Telugu,2
Action,6.1,87.0,Others,Others,Kona Venkat,Ravi Teja,Shruti Haasan,S. Thaman,Jayanan Vincent,Gautham Raju,Others,June,Telugu,1
Comedy,7.1,90.0,Others,Others,Others,Sundeep Kishan,Rakul Preet Singh,Ramana Gogula,Chota K. Naidu,Gautham Raju,Anandi Art Creations,November,Telugu,2
Drama,5.2,75.0,Harish Shankar,Dil Raju,Others,N. T. Rama Rao Jr.,Samantha Ruth Prabhu,S. Thaman,Chota K. Naidu,Gautham Raju,Sri Venkateswara Creations,October,Telugu,1
Romance,7.3,85.0,Others,Daggubati Suresh Babu,Others,Others,Others,Others,Others,Marthand K. Venkatesh,Others,December,Telugu,1
Action,5.7,80.0,Others,Others,Others,Naga Chaitanya,Others,S. Thaman,Arthur A. Wilson,Gautham Raju,Sri Sai Ganesh Productions,May,Telugu,1
Action,3.2,74.0,Others,Others,Others,Others,Others,Songs:,Others,Others,Others,September,Hindi,0
Tollywood,3.4,75.0,Others,Others,Others,Nagarjuna Akkineni,Others,Devi Sri Prasad,Sameer Reddy,Others,Annapurna Studios,October,Telugu,0
Comedy,6.4,59.0,Others,Others,Others,Manoj Manchu,Others,Others,Others,Others,Others,September,Telugu,1
Comedy,7.6,86.0,Others,Mohan Babu,Others,Others,Others,Mani Sharma,Sarvesh Murari,Marthand K. Venkatesh,24 Frames Factory,October,Telugu,2
Comedy,5.3,74.0,Others,Others,Others,Allari Naresh,Others,Others,Others,Others,Others,July,Telugu,1
Comedy,5.2,83.0,Others,N. V. Prasad,Others,Sunil,Others,S. A. Rajkumar,Sameer Reddy,Nandamuri Hari,Others,March,Telugu,4
Comedy,7.1,87.0,Others,Others,Others,Others,Others,Others,Karthik Ghattamaneni,Others,Others,December,Telugu,3
Drama,7.9,86.0,Others,Others,Others,Chiranjeevi,Others,Others,S. Gopal Reddy,Gautham Raju,Others,August,Telugu,1
Others,4.7,75.0,Others,Others,Others,Nagarjuna Akkineni,Nayantara,S. Thaman,Others,Marthand K. Venkatesh,Others,May,Telugu,0
Action,5.3,83.0,Others,Others,Others,Nandamuri Kalyan Ram,Others,Others,Others,Gowtham Raju,Others,July,Telugu,3
Drama,5.6,81.0,Others,Others,Others,Aadi,Others,Anoop Rubens,Others,Others,Others,May,Telugu,3
Romance,5.3,64.0,Others,Lakshmi Manchu,Others,Others,Others,Ilaiyaraaja,Others,Others,Others,March,Telugu,3
Tollywood,5.8,83.0,Others,Others,Others,Varun Sandesh,Others,Others,Others,Others,Others,February,Telugu,6
Tollywood,6.1,72.0,Others,Others,Others,Others,Others,Anoop Rubens,Others,Others,Others,August,Telugu,4
Tollywood,4.8,83.0,Others,Others,Others,Others,Others,Anoop Rubens,Others,Kotagiri Venkateswara Rao,Others,March,Telugu,3
Romance,6.5,83.0,Mohan Krishna Indraganti,Others,Others,Others,Others,Kalyani Malik,Others,Marthand K. Venkatesh,Others,August,Telugu,3
Action,5.6,83.0,Others,Others,Others,Others,Others,Others,Others,Others,Others,December,Telugu,3
Action,5.6,83.0,Others,Others,Chintapalli Ramana,Nara Rohit,Others,Others,Others,Marthand K. Venkatesh,Others,February,Telugu,2
Comedy,5.1,83.0,Others,Others,Others,Allari Naresh,Others,Others,Sarvesh Murari,Others,Others,June,Telugu,3
Tollywood,3.8,83.0,Others,D. Ramanaidu,Others,Others,Others,M. M. Srilekha,Others,Others,Suresh Productions,November,Telugu,4
Bollywood,5.9,77.0,Ram Gopal Varma,Others,Others,Others,Others,Others,Others,Others,Others,October,Hindi,2
Drama,6.0,58.0,Others,Others,Janardhan Maharshi,Others,Others,Others,Others,Others,Others,June,Telugu,3
Romance,5.5,83.0,Others,Others,Others,Others,Others,Sunil Kashyap,Others,Dharmendra Kakarala,Others,March,Telugu,3
Drama,4.4,58.0,Others,Prakash Raj,Others,Others,Others,S. Thaman,Others,Others,Others,April,Telugu,2
Romance,6.0,83.0,Others,Others,Others,Others,Others,Others,Others,Others,Others,August,Telugu,4
Thriller,2.5,83.0,Others,Others,Others,Others,Others,Others,Others,Others,Others,February,Telugu,2
Tollywood,6.0,83.0,Others,Others,Others,Uday Kiran,Others,Others,Others,Others,Others,April,Telugu,6
